title,description,general job classification,skills,formal_requirements
Senior Software Engineer,"About The Team/Role

We are a group dedicated to enabling payments of all sorts. We help individuals pay bills, we help businesses do the same and we even help technology firms move funds at high volumes to facilitate their core capabilities. Our goal is to use our technology to make paying for anything as simple as possible.

Our team consists of small, agile development teams focused on building state of the art solutions from the ground up using the best technology available. We focus on cloud-based microservice solutions to help achieve fast, scalable results that allow our business partners the flexibility they need to compete in our competitive market.

Our team of professionals works hard, covers for one another, and maintains a work-life balance. We own our results and we take pride in ownership in everything we do.

 

How you'll make an impact

Changing the world isn’t easy, and we have a lot of work ahead of us. From new product features to automation, to supporting microservices, we’ve got more work than we can handle and we’re looking for motivated individuals to join our team!

Culturally, You're

 A highly motivated engineer who loves working on small, high performing teams Collaborative, a solid communicator, and work well with your team and stakeholders Someone who cares deeply for team results, checks your ego at the door and takes pride in owning results A professional who can advocate strongly for positions and still be 100% behind team decisions even if they don’t go your way Are comfortable balancing the need to move fast with the realities of working in a highly regulated space Are willing to participate in an on call rotation

Technically, You

 Pick up new technology and switch between tech stacks with a minimum of overhead Are comfortable working on front-end web code, back end services, data stores, and infrastructure systems Are a solid architect/designer Have experience writing modern software deployed in the cloud Are comfortable with encryption schemes, modern APIs, and front-end frameworks Have worked on agile teams to deliver software iteratively

Experience you'll bring 

NodeJs, JavaScript, TypeScript with emphasis on server side microservice development and architectures.Microservice architectures, Docker Containers, and server less Cloud Deployment .Have a BS in an engineering field OR can make us feel intensely confident that you have equivalent experienceSolid experience of development  Experience developing internal/external web servicesHave a demonstrable working understanding of at least one modern web framework Can show us one or more passion projects or open-source work you have contributed to in your own time Have experience with AWS, Salesforce Lightning Platform/APEX code developmentHave demonstrable experience with systems engineering and automationHave experience with DevOps practices and procedures

The base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.

Salary Pay Range: $117.000,00 - $155.000,00",Software Development / Engineering,"['NodeJs', 'JavaScript', 'TypeScript', 'Server-side microservice development and architectures', 'Microservice architectures', 'Docker Containers', 'Serverless Cloud Deployment', 'Modern software deployment in the cloud', 'Encryption schemes', 'Modern APIs', 'Front-end frameworks', 'Agile teams', 'DevOps practices and procedures']","['BS in an engineering field OR equivalent experience', 'Solid experience of development', 'Experience developing internal/external web services', 'Demonstrable working understanding of at least one modern web framework', 'Passion projects or open-source work contributed to', 'Experience with AWS, Salesforce Lightning Platform/APEX code development', 'Demonstrable experience with systems engineering and automation']"
Senior Software Engineer,"JOB DESCRIPTION: Position is based in Charlotte, NC, some teleworking may be permitted. Travel to Lowe’s offices may be required.

Translates business requirements and specifications into logical program designs, code modules, stable application systems, and software solutions with occasional guidance from senior colleagues. Partners with product team to understand business needs and functional specifications. Developing dynamic and browser compatible web/mobile applications using Android, JavaScript, React and Node. Develops, configures, or modifies integrated business and enterprise application solutions within various computing environments by designing and coding component-based applications using various programming languages. Performing design and code reviews to maintain code quality, performance and application responsiveness. Conducts the implementation and maintenance of complex business and enterprise software solutions to ensure successful deployment of released applications. Supports Systems Integration Testing (SIT) and User Acceptance Testing (UAT), provides insight into defining test plans, and ensures quality software deployment. Participates in the end-to-end product lifecycle by applying and sharing an in-depth understanding of company and industry methodologies, policies, standards, and controls. Understands Computer Science and computer engineering fundamentals knows software architecture and readily applies this to software solutions. Automates and simplifies team development, test, and operations processes, develops conceptual, logical and physical architectures consisting of one or more viewpoints (business, application, data, and infrastructure) required for business solution delivery. Solves difficult technical problems; solutions are testable, maintainable, and efficient.

JOB REQUIREMENTS: Job requires a Bachelor’s degree* in Computer Science, CIS, Engineering, or a related field and 5 years of experience in any job title/occupation involving software development or a related field. *Employer will accept single degree or combination of degrees, diplomas and/or professional experience equivalent to a Bachelor’s degree.

Must have prior experience in:

 5 years of experience in: HTML5, CSS3 and Java Script; ReactJS, Redux, and NodeJS; Implementing AJAX features using JavaScript and jQuery; State Management for User interfaces with Redux, Redux-thunk, and Zustand; Tailwinds CSS with LESS, SASS, Material UI, SymanticUI and StyleD components; JavaScript testing frameworks Jasmine, Karma and writing Test Case Scenarios; and Software Development Lifecycle (SDLC): Requirement analysis, implementing and estimating the timelines for the project.  2 years of experience in mobile technologies: Android and Ionic. 

Qualified applicants should email cover letter & resume to: lowescareer@lowes.com. REQ# 4004664

Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for CA, CO, HI, NJ, NY, WA: $92,300.00 - $175,400.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",Software Development / Engineering,"['HTML5', 'CSS3', 'JavaScript', 'ReactJS', 'Redux', 'NodeJS', 'AJAX', 'State Management', 'Tailwinds CSS', 'LESS', 'SASS', 'Material UI', 'SymanticUI', 'StyleD components', 'Jasmine', 'Karma', 'Test Case Scenarios', 'Software Development Lifecycle (SDLC)', 'Requirement analysis', 'Android', 'Ionic']","['Bachelor’s degree* in Computer Science, CIS, Engineering, or a related field and 5 years of experience in any job title/occupation involving software development or a related field.']"
Senior Software Engineer,"JOB DESCRIPTION: Position is based in Charlotte, NC, some teleworking may be permitted. Travel to Lowe’s offices may be required.

Translates complex cross-functional business requirements and functional specifications into logical program designs, code modules, stable application systems, and software solutions; partners with Product Team to understand business needs and functional specifications. Collaborates with cross-functional teams to ensure specifications are converted into flexible, scalable, and maintainable solution designs; evaluates project deliverables to ensure they meet specifications and architectural standards. Guides application and software development teams in the design and build of complex solutions and ensures that teams are in alignment with the architecture blueprint, standards, target state architecture, and strategies. Coordinates, executes, and participates in Component Integration (CIT) scenarios, Systems Integration Testing (SIT), and User Acceptance Testing (UAT) to identify application errors and to ensure quality software deployment. Participates and coaches others in all software development end-to-end product lifecycle phases by applying and sharing an in-depth understanding of complex company and industry methodologies, policies, standards, and controls. Has solid grasp of software design patterns and approaches; understands application level software architecture; makes technical trade-off decisions at application level. Automates and simplifies team development, test, and operations processes; develops detailed architecture plans for large scale enterprise architecture projects and drives the plans to fruition. Solves complex architecture/design and business problems; solutions are extensible; works to simplify, optimize, remove bottlenecks. Provides mentoring and guidance to more junior level engineers; may provide feedback and direction on specific engineering tasks.

JOB REQUIREMENTS: Job requires a Bachelor’s degree* in Computer Science, CIS, Engineering, or a related field and 5 years of experience in any job title/occupation involving software development or a related field. *Employer will accept single degree or combination of degrees, diplomas and/or professional experience equivalent to a Bachelor’s degree.

Must have prior experience in:

 5 years of experience in: Atlassian Bitbucket, Git, Google Kubernetes and Red Hat OpenShift; Batch Job Streaming including Google Data Flow, Google AirFlow, Google and DataProc; Realtime time streaming including Kafka and MQ; Observability and Monitoring tools including Dynatrace, Grafana, Blue Triangle, Splunk, FullStory, ELK (Elastic Search, Logstash, Kibana) and HP Application Performance Management; Implementation of solutions and automation applying development life cycles (SDLC); Robotic Process Automation using Selenium; Spring and Spring Boot, REST Services and Microservices architecture; and Cloud based management application hosted on Google cloud and Amazon Web Service.  3 years of experience in: Python, Java and J2EE Technologies; Docker and Container Orchestration solutions and microservices; No-SQL databases including Cassandra, MongoDB and Couchbase; Relational Databases including Oracle and DB2; and Shell scripting and Web Application Automation using Cucumber. 

Qualified applicants should email cover letter & resume to: lowescareer@lowes.com . REQ# 3869884

Lowe’s is an equal opportunity employer and administers all personnel practices without regard to race, color, religious creed, sex, gender, age, ancestry, national origin, mental or physical disability or medical condition, sexual orientation, gender identity or expression, marital status, military or veteran status, genetic information, or any other category protected under federal, state, or local law.

Pay Range for CA, CO, HI, NJ, NY, WA: $92,300.00 - $175,400.00 annually Starting rate of pay may vary based on factors including, but not limited to, position offered, location, education, training, and/or experience. For information regarding our benefit programs and eligibility, please visit https://talent.lowes.com/us/en/benefits.",Software Development / Engineering,"['Atlassian Bitbucket', 'Git', 'Google Kubernetes', 'Red Hat OpenShift', 'Batch Job Streaming', 'Google Data Flow', 'Google AirFlow', 'Google Cloud', 'Amazon Web Service', 'Kafka', 'MQ', 'Dynatrace', 'Grafana', 'Blue Triangle', 'Splunk', 'FullStory', 'ELK (Elastic Search, Logstash, Kibana)', 'HP Application Performance Management', 'Robotic Process Automation', 'Selenium', 'Spring and Spring Boot', 'REST Services', 'Microservices architecture', 'Python', 'Java', 'J2EE Technologies', 'Docker', 'Container Orchestration solutions', 'No-SQL databases (Cassandra, MongoDB, Couchbase)', 'Relational Databases (Oracle, DB2)', 'Shell scripting', 'Web Application Automation (Cucumber)']","['Bachelor’s degree in Computer Science, CIS, Engineering, or a related field']"
Senior Software Engineer,"At U.S. Bank, we’re on a journey to do our best. Helping the customers and businesses we serve to make better and smarter financial decisions and enabling the communities we support to grow and succeed. We believe it takes all of us to bring our shared ambition to life, and each person is unique in their potential. A career with U.S. Bank gives you a wide, ever-growing range of opportunities to discover what makes you thrive at every stage of your career. Try new things, learn new skills and discover what you excel at—all from Day One.

Job Description

The role offers a hybrid/flexible schedule, which means there's an in-office expectation of 3 or more days per week and the flexibility to work outside the office location for the other days.

Be a part of transformational change where integrity matters, success inspires, and great teams collaborate and innovate. As the fifth-largest bank in the United States, we’re one of the country's most respected, innovative, ethical and successful financial institutions. We’re looking for people who want more than just a job – they want to make a difference! U.S. Bank is seeking a Software Engineer who will contribute toward the success of our technology initiatives in our digital transformation journey.

This position will be responsible for the analysis, design, testing, development and maintenance of best-in-class software experiences. The candidate is a self-motivated individual who can collaborate with a team and across the organization. The candidate takes responsibility of the software artifacts produced adhering to U.S. Bank standards in order to ensure minimal impact to the customer experience. The candidate will be adept with the agile software development lifecycle and DevOps principles.

Top 3 Skills: 

GitLabADO/TFSAzure


Essential Responsibilities:

Responsible for designing, developing, testing, operating and maintaining products.Takes full stack ownership by consistently writing production-ready and testable code.Consistently creates optimal design adhering to architectural best practices; considers scalability, reliability and performance of systems/contexts affected when defining technical designs.Performs analysis on failures, propose design changes, and encourage operational improvements.Makes sound design/coding decisions keeping customer experience in the forefront.Takes feedback from code review and apply changes to meet standards.Conducts code reviews to provide guidance on engineering best practices and compliance with development procedures.Accountable for ensuring all aspects of product development follow compliance and security best practices.Exhibits relentless focus in software reliability engineering standards embedded into development standards.Embraces emerging technology opportunities and contributes to the best practices in support of the bank’s technology transformation.Contributes to a culture of innovation, collaboration and continuous improvement.Reviews tasks critically and ensures they are appropriately prioritized and sized for incremental delivery; anticipates and communicates blockers and delays before they require escalation.


Basic Qualifications

Bachelor’s degree, or equivalent work experienceFive to six years of relevant experience


Preferred Skills/Experience

General understanding of GitLab, ADO/TFS, and source code management.Familiarity with Kubernetes, Helm, Docker, Azure, and React.Adept with agile software development lifecycle and DevOps principlesComplete understanding of a feature, the users impacted, the flows impacted and feature's purpose.Thorough understanding of the team's domain, how work in this domain relates to the team's objectives and deliverables and how it contributes to overall business strategy and how technical strategy maps to this.Basic understanding of adjacent teams' business domainsAbility to collaborate on all aspects of product development.Technically proficient and able to define and fulfill solutions requirements for end user.Able to communicate processes and results with all parties involved in the product team, including engineers, product owner, scrum master, third party vendors and customers.Proficient understanding of algorithms, data structures, architectural design patterns and best practicesEffective problem-solving and analytical skills


If there’s anything we can do to accommodate a disability during any portion of the application or hiring process, please refer to our disability accommodations for applicants.

Benefits:

Our approach to benefits and total rewards considers our team members’ whole selves and what may be needed to thrive in and outside work. That's why our benefits are designed to help you and your family boost your health, protect your financial security and give you peace of mind. Our benefits include the following (some may vary based on role, location or hours):

Healthcare (medical, dental, vision)Basic term and optional term life insuranceShort-term and long-term disabilityPregnancy disability and parental leave401(k) and employer-funded retirement planPaid vacation (from two to five weeks depending on salary grade and tenure)Up to 11 paid holiday opportunitiesAdoption assistanceSick and Safe Leave accruals of one hour for every 30 worked, up to 80 hours per calendar year unless otherwise provided by law


EEO is the Law

U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors. Applicants can learn more about the company’s status as an equal opportunity employer by viewing the federal KNOW YOUR RIGHTS EEO poster.

E-Verify

U.S. Bank participates in the U.S. Department of Homeland Security E-Verify program in all facilities located in the United States and certain U.S. territories. The E-Verify program is an Internet-based employment eligibility verification system operated by the U.S. Citizenship and Immigration Services. Learn more about the E-Verify program.

The salary range reflects figures based on the primary location, which is listed first. The actual range for the role may differ based on the location of the role. In addition to salary, U.S. Bank offers a comprehensive benefits package, including incentive and recognition programs, equity stock purchase 401(k) contribution and pension (all benefits are subject to eligibility requirements). Pay Range: $108,375.00 - $127,500.00 - $140,250.00

Job postings typically remain open for approximately 20 days of the posting date listed above, however the job posting may be closed earlier should it be determined the position is no longer required due to business need. Job postings in areas with a high volume of applicants, such as customer service, contact center, and Financial Crimes investigations, remain open for approximately 5 days of the posting listed date.",Software Development / Engineering,"['GitLab', 'ADO/TFS', 'Azure']","['Bachelor’s degree or equivalent work experience', 'Five to six years of relevant experience']"
Data Architect,"We are seeking an experienced Data Architect to guide the design, modeling, and implementation of our customer data platform. As a Data Architect, you can translate business requirements into data management and technology requirements, strategy, principles, and architectures. In this role you will play a pivotal role in implementing scalable and performant solutions that unify data across multiple teams and domains including large-scale event streaming, reporting, analytics and more. Create insights for our customers using terabytes of platform transactional and time series data, email and marketing content, user e-commerce trails, email enrichment tags, etc. We are looking for a candidate who can improve data performance in our existing systems as well as design and guide new systems and technology choices for our next chapter of growth.

What Your Day Could Consist Of

Collaborating across teams to implement a unified data reporting infrastructure that meets multiple teams’ requirements.Designing a system that delivers real-time reporting and analytics to customers utilizing data from MySQL, Druid, Snowflake, S3, and more.Brainstorming with Customer Data Platform teams to guide data and architectural solutions.Creating and maintaining comprehensive and high-quality documentation for data infrastructure, pipelines, and processes.Creating data pipelines for ingesting, processing, and storing event streaming and time-series data.Implementing data science IT infrastructure (data stores, ETL tools, visualizations, runtime environments).Owning data loads between data lake, internal data structures, and internal/external API’s.

What Is Needed

10+ years experience in data analysis, integration and delivery.5+ years of proven experience as a Data Architect working with technologies such as MySQL databases in high transaction production environments.Proven experience in designing, modeling, documenting, and implementing scalable and performant data architectures in MySQL as well as technologies such as Druid, Snowflake, and/or ElasticSearch.Deep understanding of relational databases MySQL database architecture, optimization, troubleshooting as well as complex data sets with focus on resource utilization.Experience in designing and modeling database schemas, including normalization, denormalization, and indexing strategies.Experience with Apache Druid or other time series technologies to provide analytics for large-scale event streaming data.Expertise in unifying data from multiple data stores and technologies to provide real-time reports and analytics to customers.Ability to create high quality documentation and implementation timelines that facilitate multiple workstreamsStreaming technology knowledge (Maxwell’s Daemon, Kafka, Snowpipe).Database administration skills (SQL, no-SQL, etc.) for scale, stability, security, multi-user load management and performance.Experience implementing ETL processes with Airflow.

About ActiveCampaign

ActiveCampaign helps small teams power big businesses with the must-have platform for intelligent marketing automation. Customers from over 170 countries depend on ActiveCampaign’s mix of pre-built automations and integrations (including Facebook, Google, WordPress, Salesforce, Shopify, and Square) to power personalized marketing, transactional emails, and one-to-one CRM interactions throughout the customer lifecycle.

As a global multicultural company, we are proud of our inclusive culture which embraces diverse voices, backgrounds, and perspectives. We don’t just celebrate our differences, we believe our diversity is what empowers our innovation and success. You can find out more about our DEI initiatives here.

ActiveCampaign holds the highest customer satisfaction rating among Marketing Automation, E-Commerce Personalization, Landing Page Builders, and CRM solutions on G2.com and is one of only a handful of software solutions with over 10,000 positive reviews. ActiveCampaign has also been named the Top Rated Email Marketing Software on TrustRadius. Learn more and start your free trial at ActiveCampaign.com.

Perks And Benefits

ActiveCampaign is an employee-first culture. We take care of our employees at work and outside of work. You can see more of the details here, but some of our most popular benefits include:

Comprehensive health and wellness benefits that includes a High Deductible Health Plan (HDHP) fully covered by ActiveCampaign, complimentary access to telehealth and tele-mental health resources, and a complimentary membership to CalmOpen paid time offGenerous 401(k) matching program with immediate vestingQuarterly Path Perks with options for commuter and lunch benefits (for those reporting to a Hub), or a remote home office stipendAfter five years of service, you’ll be eligible for a four-week paid sabbatical leave and a sabbatical leave bonus

ActiveCampaign is an equal opportunity employer. We recruit, hire, pay, grow and promote no matter of gender, race, color, sexual orientation, religion, age, protected veteran status, physical and mental abilities, or any other identities protected by law.

Our Employee Resource Groups (ERGs) strive to foster a diverse inclusive environment by supporting each other, building a strong sense of belonging, and creating opportunities for mentorship and professional growth for their members.",Data & Analytics,"['data analysis', 'integration', 'delivery', 'database administration', 'SQL', 'no-SQL', 'indexing strategies', 'normalization', 'denormalization', 'ETL processes', 'Airflow', 'Apache Druid', 'ElasticSearch', 'MySQL databases', 'Snowflake', 'Druid', 'Kafka', 'Maxwell’s Daemon', 'Snowpipe']","['10+ years experience in data analysis, integration and delivery', '5+ years of proven experience as a Data Architect working with technologies such as MySQL databases in high transaction production environments', 'Proven experience in designing, modeling, documenting, and implementing scalable and performant data architectures in MySQL as well as technologies such as Druid, Snowflake, and/or ElasticSearch']"
Data Analyst,"Summary (Onsite in Cincinnati, Ohio)Gather, analyze, and compile data needed to identify trends and patterns, then make recommendations for business actions.
DutiesAnalyze data to identify trends or relationships among variables.Determine appropriate methods for data analysis.Evaluate technical data to determine the effect on designs or plans.Prepare data for analysis.Evaluate data quality.Present research results to others.Prepare graphics or other visual representations of information.Prepare analytical reports.Proactively analyze data to answer key questions for stakeholders or yourself, with an eye on what drives business performance, and investigate and communicate which areas need improvement in efficiency and productivity.Design research studies to obtain scientific information.Apply mathematical principles or statistical approaches to solve problems.Evaluate project designs to determine adequacy or feasibility.Update knowledge about emerging industry or technology trends.Develop models of information or communications systems.Develop information communication procedures.Provide technical support for software maintenance or use.Update knowledge about emerging industry or technology trends.Document technical specifications or requirements.Document operational procedures.
Qualifications
Bachelor’s degree in business, management, economics, accounting, finance, or computer information science required; master’s degree preferred.5 years of related experience.
CompetenciesAdvanced knowledge of mathematics and statistics.Proficient in Microsoft Office Suite or related software.Ability to collect and compile relevant data.Deep understanding of database queries and reporting system solutions.Excellent ability to analyze information and think systematically.Strong business analysis skills.Thorough understanding of the company’s business processes and the industry at large.Data security and privacyData visualization, including tools such as Tableau and QlikProficient in ETL (extract, transform, load)Cloud computing and data storage technologyExcellent communication skills both verbal and written.Desire and drive to be proactive and take ownership of the team and processes.Excellent trouble-shooting skills.Excellent time and project management skills.Able to work as part of a large project team and interact effectively with others at all levels of the organization.A self-starter, versatile and adept at functioning in a small department in either a lead or support role.Thorough and attentive to details; proactive and deadline oriented.Problem analysis and problem resolution at both a strategic and functional level",Data & Analytics,"['Data Analysis', 'Business Intelligence', 'Database Management', 'Statistics', 'Mathematics', 'Data Visualization', 'ETL', 'Cloud Computing', 'Data Security', 'Privacy', 'Communication', 'Project Management', 'Time Management']","[""Bachelor's degree in Business, Management, Economics, Accounting, Finance, or Computer Information Science"", ""Master's degree preferred"", '5 years of related experience']"
Full Stack Engineer,"**Hybrid Position - Candidate is required to be able to come On-Site ** 
This is a Software Engineer/Consultant expert position. 
Product Engineering and Management (PEM) is Global Data Insight and Analytics (GDIA)’s primary capability to enable advanced analytics technologies in the Big Data space that will lead to improved quality, design, marketing, and development of our current and future products. This includes creating a production connected vehicle analytics platform to provide insights to Ford Vehicle Engineers that increase quality and improve the value of our products. GDIA PEM is looking for a full-stack Software Engineer focused on delivering software leveraging Angular, Java and Python based on proven Lean/Agile methods. Knowledge of Big Data tools and techniques is a plus. The Software Engineer will work in a small, cross-functional, and co-located team. The Software Engineer will collaborate directly and continuously with business partners, product managers and designers, and will release early and often. 
Position Responsibilities: Work hands-on with the team and other stakeholders to deliver quality software products that meet our customer’s requirements and needs. Help business partners understand our iterative development approach and focus on delivering a Minimum Viable Product (MVP) through careful and deliberate prioritization. Grow technical capabilities / expertise and provide guidance to other members on the team
Skills Required:Exceptional software engineering knowledge; OO Design Principles Capable full-stack developer comfortable building Angular/Java and/or Python applications Knowledge of Google Cloud Technologies (Cloud Run, DataProc, BigQuery) Basic understanding of Big Data and potential use cases Strong desire to learn new skills and apply to solve business problems/opportunities
Skills Preferred:Demonstrated ability to architect a solution from design to delivery Demonstrated ability to coach and mentor peers. Both in day-to-day interactions and in department-based forums
Experience Required:Overall 6 years of work experience in delivering customer facing products Minimum 2 years of strong development experience in at least one of the following technologies: Python (preferred) or Java on a Public Cloud Platform
Experience Preferred:Experience developing software for an Automotive/Manufacturing company Experience working in a large multi-national company with many diverse stakeholders and potentially competing objectives.
Education Required:An Bachelor’s degree in Computer Science or similar technical discipline",Software Development / Engineering,"['Exceptional software engineering knowledge', 'OO Design Principles', 'Full-stack development (Angular, Java, Python)', 'Google Cloud Technologies (Cloud Run, DataProc, BigQuery)', 'Basic understanding of Big Data and potential use cases']","['Bachelor’s degree in Computer Science or similar technical discipline', '6 years of work experience in delivering customer facing products', '2+ years of strong development experience in Python (preferred) or Java on a Public Cloud Platform']"
Full Stack Engineer,"Job descriptionHello Connections ,
Looking for only W2 Candidates. 
We are Hiring graduate students H1-B & H1-transfer , H4EAD,GCEAD, GC & USC for our Clients across the USA
Technologies We Are Hiring For:
** Data Scientist** Data Analyst** Data Engineer** BA ** Devops ** AWS ** QA** Pega Developer** Python Developer** Cloud Architecture consultant** Dot Net** Full Stack (Front End & Back End)** UI/Front End
with Min 8+ Years of Experience And need to work on our own W2.
* Free Training & Guest house provided* Best Marketing team with a large hands on experience who can able to get placed you in a shorter time with long term projects* H1B Sponsorship & Green Card Filing* Direct Clients & Implementations* Best trainer's in the market who can support you the training and also in interview preparation.
If you are looking for some good opportunities please drop me your updated resume toprabhakar@svktechinc.com OrReach me out at 609-904-0030 for further details
",Software Development / Engineering,"['Data Scientist', 'Data Analyst', 'Data Engineer', 'BA', 'Devops', 'AWS', 'QA', 'Pega Developer', 'Python Developer', 'Cloud Architecture consultant', 'Dot Net', 'Full Stack (Front End & Back End)', 'UI/Front End']","['Min 8+ Years of Experience', 'W2 Candidate Only', 'H1-B & H1-transfer', 'H4EAD', 'GCEAD', 'GC', 'USC']"
DevOps Engineer,"Company Description Hanker Systems, Inc. is a talent acquisition company that specializes in connecting organizations with skilled professionals for IT projects. We are proud of our team of talented individuals who bring domain knowledge and industry experience to help organizations find the right talent. We are committed to delivering innovative solutions and exceptional service to our clients.
 Role Description This is a contract remote role for a DevOps Engineer at Hanker Systems, Inc. The DevOps Engineer will be responsible for day-to-day tasks related to infrastructure as code (IaC), software development, continuous integration, system administration, and Linux. The role involves working remotely to support and enhance the organization's IT projects, ensuring continuous improvement, and maximizing efficiency.
 Qualifications Experience with infrastructure as code (IaC), software development, and continuous integrationStrong system administration skills, particularly in a Linux environmentKnowledge of configuration management tools like Ansible or PuppetExperience with containerization technologies such as Docker and KubernetesUnderstanding of networking concepts and protocolsGood problem-solving and troubleshooting skillsExcellent written and verbal communication skillsAbility to work independently and remotelyRelevant certifications in DevOps or related fields are a plus",Software Development / Engineering,"['infrastructure as code', 'software development', 'continuous integration', 'system administration', 'Linux', 'Ansible', 'Puppet', 'Docker', 'Kubernetes', 'networking concepts', 'protocols', 'problem-solving', 'troubleshooting']","['contract remote role', 'remote work experience', 'relevant certifications in DevOps or related fields (optional)']"
Data Analyst,"Title: Business Data Analyst (Google Sheets, SQL)Location: Los Angeles, CA
 Project Details Our company is embarking on a significant project to migrate our existing reporting tool to our in-house data warehouse infrastructure. As a part of this project, we need to migrate 100+ reports, currently in Google Sheets format. Given the dataset's financial nature, it is crucial to ensure accurate data validation by meticulously comparing old reports with new ones. Furthermore, this project also involves restructuring reports within Google Sheets.  Job Requirements: We're looking for a candidate with exceptional proficiency in Google Sheets. This expertise should include manipulating, analyzing, and managing data within Google Sheets. The candidate should be outstanding at extracting business logic from existing reports and implementing it into new ones. Although a basic understanding of SQL for tasks related to data validation and metrics calculations is beneficial, the primary skill we are seeking is proficiency in Google Sheets. This role will involve working across various cross-functional teams, so strong communication skills are essential. The position requires a meticulous eye for detail, a commitment to delivering high-quality results, and above all, exceptional competency in Google Sheets

Google sheet knowledge is preferred.Strong Excel experience without Google will be considered.Data Validation and formulas to extract data are a mustBasic SQL knowledge is required.Strong communications skills are requiredInterview process: 2 or 3 round. Excel (Google) skill test assessment.",Data & Analytics,"['Google Sheets', 'SQL']","['mastery of Google Sheets', 'data validation and metrics calculations', 'business logic extraction and implementation', 'communication skills', 'attention to detail', 'commitment to delivering high-quality results', 'Excel (Google) skill test assessment']"
Data Analyst,"Title: Data AnalystLocation: Los Angeles, CA (REMOTE). Need Local Candidates 
Visa - USC/GC
Minimum Qualifications:Qualifications1. Experience in the followinga. Database: T-SQL, SQL Server,b. Report development in: SSRS and PowerBIc. SCRUM project management practicesd. Data dictionary and requirements documentation2. Strong communication skillsDuties and Responsibilities1. Perform data validation and sanitation to ensure quality, accuracy, and consistency with thebusiness requirements2. Develop data requirements for the new AHIS system.3. Develop and maintain data reports and dashboards to meet the business requirements.4. Work with the department leads to gather data requirements.5. Work with AHIS developers in developing, testing, and maintaining data interfaces.6. Work with AHIS developers and DBA in developing the new AHIS database.7. Provide user support on data issues.8. Perform data analysis9. Maintain data dictionary10. Test and validate data in the new system.

Best RegardsRAM",Data & Analytics,"['Database', 'T-SQL', 'SQL Server', 'SSRS', 'PowerBI', 'SCRUM project management practices']",['Visa - USC/GC']
